Package,Kernel Function
elm/core,
,Elm.Kernel.Basics.acos
,Elm.Kernel.Basics.add
,Elm.Kernel.Basics.and
,Elm.Kernel.Basics.asin
,Elm.Kernel.Basics.atan
,Elm.Kernel.Basics.atan2
,Elm.Kernel.Basics.ceiling
,Elm.Kernel.Basics.cos
,Elm.Kernel.Basics.e
,Elm.Kernel.Basics.fdiv
,Elm.Kernel.Basics.floor
,Elm.Kernel.Basics.idiv
,Elm.Kernel.Basics.isInfinite
,Elm.Kernel.Basics.isNaN
,Elm.Kernel.Basics.log
,Elm.Kernel.Basics.modBy
,Elm.Kernel.Basics.mul
,Elm.Kernel.Basics.not
,Elm.Kernel.Basics.or
,Elm.Kernel.Basics.pi
,Elm.Kernel.Basics.pow
,Elm.Kernel.Basics.remainderBy
,Elm.Kernel.Basics.round
,Elm.Kernel.Basics.sin
,Elm.Kernel.Basics.sqrt
,Elm.Kernel.Basics.sub
,Elm.Kernel.Basics.tan
,Elm.Kernel.Basics.toFloat
,Elm.Kernel.Basics.truncate
,Elm.Kernel.Basics.xor
,Elm.Kernel.Bitwise
,Elm.Kernel.Bitwise.and
,Elm.Kernel.Bitwise.complement
,Elm.Kernel.Bitwise.or
,Elm.Kernel.Bitwise.shiftLeftBy
,Elm.Kernel.Bitwise.shiftRightBy
,Elm.Kernel.Bitwise.shiftRightZfBy
,Elm.Kernel.Bitwise.xor
,Elm.Kernel.Char
,Elm.Kernel.Char.fromCode
,Elm.Kernel.Char.toCode
,Elm.Kernel.Char.toLocaleLower
,Elm.Kernel.Char.toLocaleUpper
,Elm.Kernel.Char.toLower
,Elm.Kernel.Char.toUpper
,Elm.Kernel.Debug
,Elm.Kernel.Debugger
,Elm.Kernel.Debugger.download
,Elm.Kernel.Debugger.init
,Elm.Kernel.Debugger.isOpen
,Elm.Kernel.Debugger.messageToString
,Elm.Kernel.Debugger.open
,Elm.Kernel.Debugger.scroll
,Elm.Kernel.Debugger.unsafeCoerce
,Elm.Kernel.Debugger.upload
,Elm.Kernel.Debug.log
,Elm.Kernel.Debug.todo
,Elm.Kernel.Debug.toString
,Elm.Kernel.JsArray
,Elm.Kernel.JsArray.appendN
,Elm.Kernel.JsArray.empty
,Elm.Kernel.JsArray.foldl
,Elm.Kernel.JsArray.foldr
,Elm.Kernel.JsArray.indexedMap
,Elm.Kernel.JsArray.initialize
,Elm.Kernel.JsArray.initializeFromList
,Elm.Kernel.JsArray.length
,Elm.Kernel.JsArray.map
,Elm.Kernel.JsArray.push
,Elm.Kernel.JsArray.singleton
,Elm.Kernel.JsArray.slice
,Elm.Kernel.JsArray.unsafeGet
,Elm.Kernel.JsArray.unsafeSet
,Elm.Kernel.List
,Elm.Kernel.List.cons
,Elm.Kernel.List.fromArray
,Elm.Kernel.List.map2
,Elm.Kernel.List.map3
,Elm.Kernel.List.map4
,Elm.Kernel.List.map5
,Elm.Kernel.List.sortBy
,Elm.Kernel.List.sortWith
,Elm.Kernel.List.toArray
,Elm.Kernel.Platform
,Elm.Kernel.Platform.batch
,Elm.Kernel.Platform.map
,Elm.Kernel.Platform.sendToApp
,Elm.Kernel.Platform.sendToSelf
,Elm.Kernel.Platform.worker
,Elm.Kernel.Process
,Elm.Kernel.Process.sleep
,Elm.Kernel.Scheduler
,Elm.Kernel.Scheduler.andThen
,Elm.Kernel.Scheduler.fail
,Elm.Kernel.Scheduler.kill
,Elm.Kernel.Scheduler.onError
,Elm.Kernel.Scheduler.spawn
,Elm.Kernel.Scheduler.succeed
,Elm.Kernel.String
,Elm.Kernel.String.all
,Elm.Kernel.String.any
,Elm.Kernel.String.append
,Elm.Kernel.String.cons
,Elm.Kernel.String.contains
,Elm.Kernel.String.endsWith
,Elm.Kernel.String.filter
,Elm.Kernel.String.foldl
,Elm.Kernel.String.foldr
,Elm.Kernel.String.fromList
,Elm.Kernel.String.fromNumber
,Elm.Kernel.String.indexes
,Elm.Kernel.String.join
,Elm.Kernel.String.length
,Elm.Kernel.String.lines
,Elm.Kernel.String.map
,Elm.Kernel.String.reverse
,Elm.Kernel.String.slice
,Elm.Kernel.String.split
,Elm.Kernel.String.startsWith
,Elm.Kernel.String.toFloat
,Elm.Kernel.String.toInt
,Elm.Kernel.String.toLower
,Elm.Kernel.String.toUpper
,Elm.Kernel.String.trim
,Elm.Kernel.String.trimLeft
,Elm.Kernel.String.trimRight
,Elm.Kernel.String.uncons
,Elm.Kernel.String.words
,Elm.Kernel.Utils
,Elm.Kernel.Utils.append
,Elm.Kernel.Utils.compare
,Elm.Kernel.Utils.equal
,Elm.Kernel.Utils.ge
,Elm.Kernel.Utils.gt
,Elm.Kernel.Utils.le
,Elm.Kernel.Utils.lt
,Elm.Kernel.Utils.notEqual
elm/browser,
,Elm.Kernel.Browser.application
,Elm.Kernel.Browser.call
,Elm.Kernel.Browser.decodeEvent
,Elm.Kernel.Browser.doc
,Elm.Kernel.Browser.document
,Elm.Kernel.Browser.element
,Elm.Kernel.Browser.getElement
,Elm.Kernel.Browser.getViewport
,Elm.Kernel.Browser.getViewportOf
,Elm.Kernel.Browser.go
,Elm.Kernel.Browser.load
,Elm.Kernel.Browser.now
,Elm.Kernel.Browser.on
,Elm.Kernel.Browser.pushUrl
,Elm.Kernel.Browser.rAF
,Elm.Kernel.Browser.reload
,Elm.Kernel.Browser.replaceUrl
,Elm.Kernel.Browser.setViewport
,Elm.Kernel.Browser.setViewportOf
,Elm.Kernel.Browser.visibilityInfo
,Elm.Kernel.Browser.window
,Elm.Kernel.Browser.withWindow
elm/bytes,
,Elm.Kernel.Bytes.decode
,Elm.Kernel.Bytes.decodeFailure
,Elm.Kernel.Bytes.encode
,Elm.Kernel.Bytes.getHostEndianness
,Elm.Kernel.Bytes.getStringWidth
,Elm.Kernel.Bytes.read_bytes
,Elm.Kernel.Bytes.read_f32
,Elm.Kernel.Bytes.read_f64
,Elm.Kernel.Bytes.read_i16
,Elm.Kernel.Bytes.read_i32
,Elm.Kernel.Bytes.read_i8
,Elm.Kernel.Bytes.read_string
,Elm.Kernel.Bytes.read_u16
,Elm.Kernel.Bytes.read_u32
,Elm.Kernel.Bytes.read_u8
,Elm.Kernel.Bytes.width
,Elm.Kernel.Bytes.write_bytes
,Elm.Kernel.Bytes.write_f32
,Elm.Kernel.Bytes.write_f64
,Elm.Kernel.Bytes.write_i16
,Elm.Kernel.Bytes.write_i32
,Elm.Kernel.Bytes.write_i8
,Elm.Kernel.Bytes.write_string
,Elm.Kernel.Bytes.write_u16
,Elm.Kernel.Bytes.write_u32
,Elm.Kernel.Bytes.write_u8
elm/file,
,Elm.Kernel.File.decoder
,Elm.Kernel.File.download
,Elm.Kernel.File.downloadUrl
,Elm.Kernel.File.lastModified
,Elm.Kernel.File.makeBytesSafeForInternetExplorer
,Elm.Kernel.File.mime
,Elm.Kernel.File.name
,Elm.Kernel.File.size
,Elm.Kernel.File.toBytes
,Elm.Kernel.File.toString
,Elm.Kernel.File.toUrl
,Elm.Kernel.File.uploadOne
,Elm.Kernel.File.uploadOneOrMore
elm/http,
,Elm.Kernel.Http.bytesToBlob
,Elm.Kernel.Http.emptyBody
,Elm.Kernel.Http.expect
,Elm.Kernel.Http.mapExpect
,Elm.Kernel.Http.pair
,Elm.Kernel.Http.toDataView
,Elm.Kernel.Http.toFormData
,Elm.Kernel.Http.toTask
elm/json,
,Elm.Kernel.Json.addEntry
,Elm.Kernel.Json.addField
,Elm.Kernel.Json.andThen
,Elm.Kernel.Json.decodeArray
,Elm.Kernel.Json.decodeBool
,Elm.Kernel.Json.decodeField
,Elm.Kernel.Json.decodeFloat
,Elm.Kernel.Json.decodeIndex
,Elm.Kernel.Json.decodeInt
,Elm.Kernel.Json.decodeKeyValuePairs
,Elm.Kernel.Json.decodeList
,Elm.Kernel.Json.decodeNull
,Elm.Kernel.Json.decodeString
,Elm.Kernel.Json.decodeValue
,Elm.Kernel.Json.emptyArray
,Elm.Kernel.Json.emptyObject
,Elm.Kernel.Json.encode
,Elm.Kernel.Json.encodeNull
,Elm.Kernel.Json.fail
,Elm.Kernel.Json.map1
,Elm.Kernel.Json.map2
,Elm.Kernel.Json.map3
,Elm.Kernel.Json.map4
,Elm.Kernel.Json.map5
,Elm.Kernel.Json.map6
,Elm.Kernel.Json.map7
,Elm.Kernel.Json.map8
,Elm.Kernel.Json.oneOf
,Elm.Kernel.Json.run
,Elm.Kernel.Json.runOnString
,Elm.Kernel.Json.succeed
,Elm.Kernel.Json.wrap
elm/parser,
,Elm.Kernel.Parser.chompBase10
,Elm.Kernel.Parser.consumeBase
,Elm.Kernel.Parser.consumeBase16
,Elm.Kernel.Parser.findSubString
,Elm.Kernel.Parser.isAsciiCode
,Elm.Kernel.Parser.isSubChar
,Elm.Kernel.Parser.isSubString
elm/regex,
,Elm.Kernel.Regex.contains
,Elm.Kernel.Regex.findAtMost
,Elm.Kernel.Regex.fromStringWith
,Elm.Kernel.Regex.infinity
,Elm.Kernel.Regex.never
,Elm.Kernel.Regex.replaceAtMost
,Elm.Kernel.Regex.splitAtMost
elm/time,
,Elm.Kernel.Time.getZoneName
,Elm.Kernel.Time.here
,Elm.Kernel.Time.now
,Elm.Kernel.Time.setInterval
elm/url,
,Elm.Kernel.Url.percentDecode
,Elm.Kernel.Url.percentEncode
elm/virtual-dom,
,Elm.Kernel.VirtualDom.attribute
,Elm.Kernel.VirtualDom.attributeNS
,Elm.Kernel.VirtualDom.keyedNode
,Elm.Kernel.VirtualDom.keyedNodeNS
,Elm.Kernel.VirtualDom.lazy
,Elm.Kernel.VirtualDom.lazy2
,Elm.Kernel.VirtualDom.lazy3
,Elm.Kernel.VirtualDom.lazy4
,Elm.Kernel.VirtualDom.lazy5
,Elm.Kernel.VirtualDom.lazy6
,Elm.Kernel.VirtualDom.lazy7
,Elm.Kernel.VirtualDom.lazy8
,Elm.Kernel.VirtualDom.map
,Elm.Kernel.VirtualDom.mapAttribute
,Elm.Kernel.VirtualDom.node
,Elm.Kernel.VirtualDom.nodeNS
,Elm.Kernel.VirtualDom.noInnerHtmlOrFormAction
,Elm.Kernel.VirtualDom.noJavaScriptOrHtmlJson
,Elm.Kernel.VirtualDom.noJavaScriptOrHtmlUri
,Elm.Kernel.VirtualDom.noOnOrFormAction
,Elm.Kernel.VirtualDom.noScript
,Elm.Kernel.VirtualDom.on
,Elm.Kernel.VirtualDom.property
,Elm.Kernel.VirtualDom.style
,Elm.Kernel.VirtualDom.text
elm-explorations/benchmark,
,Elm.Kernel.Benchmark.operation
,Elm.Kernel.Benchmark.sample
elm-explorations/markdown,
,Elm.Kernel.Markdown.toHtml
elm-explorations/linear-algebra,
,Elm.Kernel.MJS.m4x4fromRecord
,Elm.Kernel.MJS.m4x4identity
,Elm.Kernel.MJS.m4x4inverse
,Elm.Kernel.MJS.m4x4inverseOrthonormal
,Elm.Kernel.MJS.m4x4makeBasis
,Elm.Kernel.MJS.m4x4makeFrustum
,Elm.Kernel.MJS.m4x4makeLookAt
,Elm.Kernel.MJS.m4x4makeOrtho
,Elm.Kernel.MJS.m4x4makeOrtho2D
,Elm.Kernel.MJS.m4x4makePerspective
,Elm.Kernel.MJS.m4x4makeRotate
,Elm.Kernel.MJS.m4x4makeScale
,Elm.Kernel.MJS.m4x4makeScale3
,Elm.Kernel.MJS.m4x4makeTranslate
,Elm.Kernel.MJS.m4x4makeTranslate3
,Elm.Kernel.MJS.m4x4mul
,Elm.Kernel.MJS.m4x4mulAffine
,Elm.Kernel.MJS.m4x4rotate
,Elm.Kernel.MJS.m4x4scale
,Elm.Kernel.MJS.m4x4scale3
,Elm.Kernel.MJS.m4x4toRecord
,Elm.Kernel.MJS.m4x4translate
,Elm.Kernel.MJS.m4x4translate3
,Elm.Kernel.MJS.m4x4transpose
,Elm.Kernel.MJS.v2
,Elm.Kernel.MJS.v2add
,Elm.Kernel.MJS.v2direction
,Elm.Kernel.MJS.v2distance
,Elm.Kernel.MJS.v2distanceSquared
,Elm.Kernel.MJS.v2dot
,Elm.Kernel.MJS.v2fromRecord
,Elm.Kernel.MJS.v2getX
,Elm.Kernel.MJS.v2getY
,Elm.Kernel.MJS.v2length
,Elm.Kernel.MJS.v2lengthSquared
,Elm.Kernel.MJS.v2negate
,Elm.Kernel.MJS.v2normalize
,Elm.Kernel.MJS.v2scale
,Elm.Kernel.MJS.v2setX
,Elm.Kernel.MJS.v2setY
,Elm.Kernel.MJS.v2sub
,Elm.Kernel.MJS.v2toRecord
,Elm.Kernel.MJS.v3
,Elm.Kernel.MJS.v3add
,Elm.Kernel.MJS.v3cross
,Elm.Kernel.MJS.v3direction
,Elm.Kernel.MJS.v3distance
,Elm.Kernel.MJS.v3distanceSquared
,Elm.Kernel.MJS.v3dot
,Elm.Kernel.MJS.v3fromRecord
,Elm.Kernel.MJS.v3getX
,Elm.Kernel.MJS.v3getY
,Elm.Kernel.MJS.v3getZ
,Elm.Kernel.MJS.v3length
,Elm.Kernel.MJS.v3lengthSquared
,Elm.Kernel.MJS.v3mul4x4
,Elm.Kernel.MJS.v3negate
,Elm.Kernel.MJS.v3normalize
,Elm.Kernel.MJS.v3scale
,Elm.Kernel.MJS.v3setX
,Elm.Kernel.MJS.v3setY
,Elm.Kernel.MJS.v3setZ
,Elm.Kernel.MJS.v3sub
,Elm.Kernel.MJS.v3toRecord
,Elm.Kernel.MJS.v4
,Elm.Kernel.MJS.v4add
,Elm.Kernel.MJS.v4direction
,Elm.Kernel.MJS.v4distance
,Elm.Kernel.MJS.v4distanceSquared
,Elm.Kernel.MJS.v4dot
,Elm.Kernel.MJS.v4fromRecord
,Elm.Kernel.MJS.v4getW
,Elm.Kernel.MJS.v4getX
,Elm.Kernel.MJS.v4getY
,Elm.Kernel.MJS.v4getZ
,Elm.Kernel.MJS.v4length
,Elm.Kernel.MJS.v4lengthSquared
,Elm.Kernel.MJS.v4negate
,Elm.Kernel.MJS.v4normalize
,Elm.Kernel.MJS.v4scale
,Elm.Kernel.MJS.v4setW
,Elm.Kernel.MJS.v4setX
,Elm.Kernel.MJS.v4setY
,Elm.Kernel.MJS.v4setZ
,Elm.Kernel.MJS.v4sub
,Elm.Kernel.MJS.v4toRecord
elm-explorations/webgl,
,Elm.Kernel.WebGL.enableAlpha
,Elm.Kernel.WebGL.enableAntialias
,Elm.Kernel.WebGL.enableBlend
,Elm.Kernel.WebGL.enableClearColor
,Elm.Kernel.WebGL.enableColorMask
,Elm.Kernel.WebGL.enableCullFace
,Elm.Kernel.WebGL.enableDepth
,Elm.Kernel.WebGL.enableDepthTest
,Elm.Kernel.WebGL.enablePolygonOffset
,Elm.Kernel.WebGL.enablePreserveDrawingBuffer
,Elm.Kernel.WebGL.enableSampleAlphaToCoverage
,Elm.Kernel.WebGL.enableSampleCoverage
,Elm.Kernel.WebGL.enableScissor
,Elm.Kernel.WebGL.enableStencil
,Elm.Kernel.WebGL.enableStencilTest
,Elm.Kernel.WebGL.entity
,Elm.Kernel.WebGL.toHtml
elm-explorations/test,
,Elm.Kernel.HtmlAsJson
,Elm.Kernel.HtmlAsJson.attributeToJson
,Elm.Kernel.HtmlAsJson.eventHandler
,Elm.Kernel.HtmlAsJson.taggerFunction
,Elm.Kernel.HtmlAsJson.toJson
,Elm.Kernel.Test
,Elm.Kernel.Test.runThunk
,Elm.Kernel.Texture
,Elm.Kernel.Texture.load
,Elm.Kernel.Texture.size